Layer,Name,GEOID,Population,Longitude,Latitude,LFA_2019,VRDIBR_2015-2019,VRDIAR_2015-2019,VRDTH_2015-2019,VRCAR_2015-2019,VRADR_2015-2019,POP_2015-2019,POP-I_2015-2019,POP-J_2015-2019,POP-Y_2015-2019,POP-O_2015-2019,POP-S_2015-2019,INC_2015-2019,POV_2015-2019,HDX_2015-2019
Community area,Riverdale,54,"7,229",-87.60284900,41.66013700,99.85,134.2,73.6,239,200.3,19.5,"7,326",953,"2,066","2,462","1,488",356,"$16,501",53.86,98.6
Community area,Hegewisch,55,"9,884",-87.55680300,41.66818800,30.89,46.8,22.9,442,170.3,28.3,"9,003",417,"1,417","2,505","2,981","1,683","$58,218",16.79,61.7
Community area,West Pullman,53,"25,788",-87.63574500,41.67382000,63.67,70.1,34.1,"1,622",217.2,32.6,"26,700","1,869","4,725","7,742","8,109","4,256","$47,005",22.41,82.6
Community area,Morgan Park,75,"21,714",-87.66906200,41.68972900,32.35,61.2,23.3,"1,358",198.4,38.5,"21,595","1,190","3,614","5,113","7,681","3,997","$67,711",11.89,53.1
Community area,South Deering,51,"14,125",-87.57005800,41.69063900,70.77,68.9,31.5,765,213.1,25.1,"15,488",875,"3,432","4,587","4,159","2,435","$31,576",38.27,94.3
Community area,Mount Greenwood,74,"18,633",-87.71318900,41.69487600,62.78,56.5,16.7,802,194.4,33.0,"19,197","1,391","3,296","5,519","6,593","2,398","$105,736",4.64,19.4
Community area,Pullman,50,"6,866",-87.59825200,41.70613100,77.88,70.8,31.2,405,218.5,26.3,"6,881",510,758,"2,113","2,422","1,078","$42,516",19.74,65.2
Community area,Roseland,49,"38,934",-87.62336600,41.70658800,66.60,67.5,34.6,"2,926",209.8,31.6,"39,253","2,368","6,528","10,921","12,335","7,101","$44,056",23.41,84.0
Community area,East Side,52,"21,529",-87.53490700,41.70730600,23.53,79.1,34.9,784,186.0,30.2,"23,449","1,611","5,427","6,958","6,851","2,602","$53,703",17.92,84.8
Community area,Beverly,72,"19,950",-87.67507200,41.71314800,50.25,49.7,15.4,765,178.4,27.1,"19,827","1,298","3,192","4,349","7,512","3,475","$113,511",4.69,14.2
Community area,Washington Heights,73,"25,075",-87.64889700,41.71749500,64.86,72.4,36.6,"1,813",201.6,42.1,"26,635","1,412","4,189","6,971","9,206","4,857","$57,159",21.08,77.0
Community area,Burnside,47,"2,514",-87.59647000,41.72818100,94.25,61.7,41.5,164,171.6,14.8,"1,997",35,231,594,608,529,"$30,629",15.71,84.3
Community area,Calumet Heights,48,"13,085",-87.57272000,41.72967300,40.12,66.3,33.5,930,188.3,33.2,"12,799",455,"1,645","3,026","4,722","2,951","$49,136",15.67,60.0
Community area,Chatham,44,"31,804",-87.61596500,41.74020600,55.06,72.0,29.4,"2,056",192.4,33.6,"31,122","2,151","4,525","8,743","10,737","4,966","$45,087",23.79,77.8
Community area,South Chicago,46,"25,975",-87.55143500,41.74124300,25.35,67.9,33.0,"1,603",223.0,20.7,"28,332","2,177","5,592","8,081","8,437","4,045","$40,968",28.84,84.2
Community area,Avalon Park,45,"9,359",-87.58634700,41.74419700,19.17,63.9,32.2,704,198.5,27.0,"9,589",648,"1,051","2,508","3,268","2,114","$48,350",20.81,77.6
Community area,Auburn Gresham,71,"44,959",-87.65630500,41.74420300,25.24,78.9,31.9,"2,943",217.5,25.7,"45,992","2,425","8,086","12,232","15,010","8,240","$37,670",25.17,83.6
Community area,Ashburn,70,"41,280",-87.70836300,41.74575600,68.21,67.6,25.5,"1,594",221.4,38.3,"43,538","2,750","8,640","12,361","14,673","5,114","$77,056",13.11,71.3
Community area,South Shore,43,"45,611",-87.57279000,41.76158300,57.60,90.2,48.1,"2,848",209.5,19.4,"43,755","3,177","7,564","13,683","13,636","5,696","$38,934",31.10,78.8
Community area,Greater Grand Crossing,69,"31,543",-87.61613900,41.76325100,10.56,81.2,42.3,"1,937",219.0,31.2,"30,215","1,797","5,399","9,291","9,380","4,348","$31,107",35.87,89.4
Community area,West Lawn,65,"33,543",-87.72692700,41.76977400,33.48,57.9,21.9,883,177.7,26.3,"31,800","2,226","6,852","10,126","9,278","3,318","$63,015",12.67,79.7
Community area,Chicago Lawn,66,"55,789",-87.69566700,41.77184900,27.08,74.6,28.7,"1,718",203.3,17.8,"51,182","4,329","9,876","16,730","13,934","6,313","$39,009",24.25,91.8
Community area,West Englewood,67,"29,899",-87.66659800,41.77592600,63.50,66.5,30.9,"1,884",243.9,16.2,"26,568","1,774","4,402","7,061","7,992","5,339","$29,426",33.28,95.3
Community area,Englewood,68,"24,322",-87.64250200,41.77720100,22.25,78.6,30.9,"1,535",210.3,15.2,"22,875","2,055","4,090","6,492","6,954","3,283","$25,566",40.10,95.0
Community area,Woodlawn,42,"24,630",-87.59492400,41.77887700,36.92,67.8,29.8,"1,089",221.6,23.5,"22,923","1,533","3,720","8,309","6,598","2,762","$31,305",35.51,84.4
Community area,Clearing,64,"24,519",-87.76851700,41.77958200,49.15,58.8,17.6,"1,005",207.0,24.3,"25,018","1,769","4,562","7,772","7,841","3,075","$64,655",8.77,58.5
Community area,Washington Park,40,"12,709",-87.61793600,41.79235600,65.46,102.8,53.0,498,290.2,14.8,"10,969",922,"2,460","3,841","2,904",843,"$29,351",37.18,91.9
Community area,West Elsdon,62,"18,249",-87.72421300,41.79297700,23.49,57.4,21.3,451,156.7,21.3,"18,993","1,325","3,911","6,452","5,369","1,936","$65,601",9.03,79.7
