Layer,Name,GEOID,Longitude,Latitude,HCSDIAP_2016-2018,VRDIAR_2015-2019,VRDIBR_2015-2019,VRCAR_2015-2019,VRADR_2015-2019,HCSHYTP_2016-2018,HCSOBP_2016-2018,VRCHDR_2015-2019,HCSPAP_2016-2018,HCSSP_2016-2018,HCSRCP_2016-2018,HCSSMKP_2016-2018,HCSBDP_2016-2018,HCSFVP_2016-2018,HCSFVAP_2016-2018,LFA_2019,PMC_2020,UNS_2015-2019,HDX_2015-2019,VRLE_2019,HCSNCP_2016-2018,VRBWP_2013-2017,HCSOHSP_2016-2018,INC_2015-2019,POV_2015-2019,SNP_2015-2019,TNF_2015-2019,EDB_2015-2019,EDE_2015-2019,PCT-F_2015-2019,PCT-W_2015-2019,PCT-B_2015-2019,PCT-A_2015-2019,PCT-H_2015-2019,POP_2015-2019,POP-I_2015-2019,POP-J_2015-2019,POP-Y_2015-2019,POP-O_2015-2019,POP-S_2015-2019
Community area,Rogers Park,1,-87.670171,42.00963,11.2,29.3,78.6,186.2,25.2,26.5,33.5,161.1,24.9,16.5,74,21.7,24.5,37.3,68.3,5.678961567,8.9817777,13.08664366,61.63058518,75.60914296,79.4,8.8,77,46315.10391,24.9258199,18.81741234,3.906104264,87.38268523,45.75484692,50.63414551,43.96518305,26.13015021,5.132455224,20.6356402,52553.20678,3124.390755,6678.308255,21570.20366,16430.33099,4749.973126
Community area,Norwood Park,10,-87.803451,41.985248,9.3,18.1,48.2,169,36,30.7,27.9,120.9,15.8,6.7,82.8,13.6,17.4,19.9,85.4,57.98229505,9.41049152,3.398756936,22.13973836,80.67354408,88.6,6,92.1,88796.27601,6.701653074,5.383086795,1.917656267,92.21878419,39.2616045,51.9586459,77.9860184,0.822230154,4.232330638,14.10841972,38676.02969,2368.615994,5266.524349,10339.69791,13210.135,7491.056443
Community area,Jefferson Park,11,-87.771165,41.978836,9.8,11,37.9,169.1,15.1,29.3,20.8,105.8,26,24.4,73.2,14.8,22.2,31.2,65.3,9.388207424,9.355887311,8.278528174,38.30442405,80.76975216,88.1,9.8,89.2,82186.64936,9.81145393,9.318884193,1.868289048,90.91171616,35.57151472,51.95583949,63.12791878,1.018365622,8.970528826,24.33580674,27475.35983,1706.307244,3913.687375,8049.428085,9402.43527,4403.501859
Community area,Forest Glen,12,-87.758358,41.993938,,5.6,27.5,142.8,22.1,24,20.3,78.3,24.6,17.5,91.5,18.9,31,40.4,82.5,17.51988455,9.281629413,3.824602207,16.69664745,83.1913665,93.9,6.8,83.7,134527.4755,4.414242405,2.984154244,0.669694201,94.65368556,58.2582373,52.64677233,72.72635931,1.266395005,9.213158486,14.28402573,19361.55814,1300.74871,3603.149463,4134.884681,6765.473444,3557.301842
Community area,North Park,13,-87.723578,41.983651,17.3,27.4,62.2,133.3,16.3,40.3,39.9,75,23,15.9,85.2,,,30.8,80.9,76.77811541,9.244253306,6.387876155,50.36472084,81.60838803,90.1,7.4,93.5,63921.43084,11.32781701,14.69287052,3.378913776,89.11403795,47.65023419,52.90771788,51.13441344,2.181057158,22.71371692,20.41098481,18896.62848,1432.360534,2841.161052,5488.673648,5390.274835,3744.158407
Community area,Albany Park,14,-87.721558,41.968078,12.1,23.5,67.2,152.3,21.6,26.6,29.5,90.2,22.6,24.9,73.8,12,14.3,29.1,78.5,3.897791363,9.287724631,15.3760972,59.7369009,80.31388755,85.4,7.4,76.4,68434.85353,14.34266274,15.29591242,2.795595393,81.48670524,38.13691877,49.84176085,35.38392704,4.368735897,14.53640279,42.58721802,49941.76563,3121.476136,8062.98088,19083.94028,14612.99883,5060.369504
Community area,Portage Park,15,-87.763401,41.954043,8.7,24.2,47.3,161,22.7,27.7,36.3,113.9,26.9,19.6,77.2,9.2,22.2,34.4,75.3,24.8257787,9.418271823,11.057903,48.10723749,80.61657437,88.8,7.1,86.6,74227.47646,9.399213366,10.30089976,2.213122427,85.73303263,32.70181747,50.72624911,47.78334529,1.513465162,5.420289905,42.2668307,64579.12902,3617.336732,10044.43177,19847.31038,22791.75071,8278.299422
Community area,Irving Park,16,-87.723457,41.953589,9.7,25,50.8,155.5,31.2,29.4,31.4,88.8,29.9,19.1,75.8,26.2,32,27.5,68.1,15.21559902,9.336387928,12.25978579,32.29548269,79.27299468,86.3,8.1,82.5,79563.42207,8.704218816,8.599228151,2.494164211,86.88819443,43.41533394,50.0549972,46.24164998,3.257048197,8.757893072,37.99272072,53468.35356,3462.262669,7144.95757,19401.1303,17819.99472,5640.008303
Community area,Dunning,17,-87.806015,41.946522,8.2,16.2,47.3,176.8,29.2,21.2,31.5,127.6,23.2,31.5,68.1,8.9,17.4,17.7,73.5,47.36047938,9.522952206,8.280369859,36.36112855,79.80971971,85.9,8.1,86.2,75255.62988,6.959865042,6.235984073,1.736011961,89.44521665,26.65965515,51.77634227,64.11560954,1.846792707,5.689432597,27.72236072,43400.97756,2384.661676,6501.930772,11727.49049,15143.34181,7643.552804
Community area,Montclare,18,-87.798033,41.929306,,20.9,59,191.3,37.4,27.4,41.6,175.4,37,21.2,65.6,23.4,,33.1,79,0.075825263,9.553488404,10.56580059,59.70596593,77.09737294,86,8.9,85,54792.98018,11.6889146,15.99975067,4.581928289,79.71629559,17.03990582,52.75676117,31.05180774,2.844893766,3.098037733,60.27108123,14305.19501,1047.344065,2102.044851,4347.048732,4384.252627,2424.504733
Community area,Belmont Cragin,19,-87.765502,41.927275,10.9,27.5,61.1,152.2,18.5,27.2,25.9,120.6,32.8,24.8,71.6,13.4,22.2,18.9,59.3,0.009706785,9.500822776,16.41979393,79.47284267,79.23614079,81.9,8.2,75.6,56322.83931,15.79229789,19.3952777,2.943177999,68.59920528,13.41331745,50.49292832,14.03750406,2.571348579,2.014199738,80.06349168,78649.24767,5243.532658,15743.17474,24963.87445,25117.60017,7581.06565
